,supervised_loss,unsupervised_loss,classification_loss,test_accuracy
0,-1.4107117889842948,-40.50255311286425,24.923337447462142,0.8244608729338844
1,-102.274485244281,-130.99890984176855,19.022317032392998,0.8514871728650137
2,-130.6501767939072,-153.64045554746593,17.076847006545176,0.8549737431129477
3,-147.03161095715157,-169.8497708887339,15.764757143995846,0.8686994232093663
4,-152.725495159298,-172.06966358090818,14.78237756372722,0.8760384383608815
5,-164.43513359054157,-182.82464452238298,14.089906207638844,0.8932722107438016
6,-166.47191213744867,-188.7106687263003,13.63780013881425,0.8640291408402204
7,-166.979148054495,-188.51237476294045,13.257013836807783,0.8886557334710743
8,-172.31644336739603,-191.13293345472897,12.739875870534282,0.8997826274104683
9,-177.4835707696997,-198.12218747054771,12.282008621873796,0.9003637224517906
10,-178.20177361396304,-197.70432135721006,12.005978475018448,0.8772382920110193
11,-180.30663184195328,-200.13225029101363,11.77266731403202,0.8852821539256198
12,-181.61119487535294,-205.55431791650196,11.469742912903458,0.8989701704545454
13,-185.54284071403362,-204.1735764433373,11.289390369078461,0.904426007231405
14,-184.7774173030031,-206.55443844460365,11.105935310504764,0.9112431129476584
15,-189.93859611620894,-210.65091017141478,10.99950381801848,0.9034306129476584
16,-190.29900029677876,-213.72008981081984,10.63553692639486,0.9085098140495868
17,-189.0908444759048,-212.51153504796585,10.340936469796747,0.9087035123966942
18,-193.89840712028362,-218.1106620121198,10.12234766402039,0.9016335227272727
19,-192.33849350696227,-214.6686485412723,9.965687857437917,0.9098226584022039
20,-194.14297412410164,-218.23460731208692,9.72860103787338,0.9086766098484849
21,-194.68872423238577,-215.96036171257128,9.565825636470098,0.8979586346418732
22,-193.92477260331108,-218.24132900496528,9.369470327639727,0.9001108384986226
23,-197.47785068018482,-220.94253112009665,9.208196161728376,0.9161232351928374
24,-197.52740671522074,-217.79656095626174,9.009431123518112,0.9070624569559228
25,-196.767083938254,-220.43902397798072,8.902281516699821,0.9103822314049587
26,-199.8728150466825,-221.83446418997198,8.558011830543347,0.9003798639807162
27,-200.5476490310575,-224.19194224582805,8.5264159661201,0.9096881456611571
28,-201.45088063077515,-223.90247093122352,8.382657327828221,0.9037695850550964
29,-201.5548460761037,-223.85808283874385,8.156140417455402,0.91024233815427
30,-202.33028611075463,-225.76137773141724,8.022494355188014,0.9023814135674931
31,-203.36822095177746,-227.0604690100574,7.634333674060735,0.9158542097107438
32,-200.75931432077772,-226.63336484372493,7.5540680671080915,0.9161393767217632
33,-201.4478758662731,-225.5536675082291,7.4001649591026855,0.918479898415978
34,-204.84812660420945,-231.04474060755734,7.230702559766828,0.9170540633608815
35,-203.79363776549667,-228.72053595008302,7.074317177022507,0.9198035037878788
36,-203.85355675291967,-228.76496065425678,6.746454610021697,0.9096881456611571
37,-206.84733199916582,-230.78288609373496,6.4821475225993,0.8771898674242424
38,-205.48363509849847,-230.84673061112358,6.337443054324548,0.9030216942148761
39,-207.1797804739637,-230.76363286701806,6.397572334806532,0.9175060261707989
40,-207.3959989612744,-230.22319739183118,6.036698625317834,0.9166989497245179
41,-208.64957291934036,-233.47089953475418,5.925228673790025,0.9062984245867769
42,-210.30622333001796,-234.25293303127407,5.638605428143449,0.9137773329889807
43,-210.02676844038757,-234.52713693983011,5.467203926854065,0.915461432506887
44,-210.75410765849588,-231.73332216548724,5.213176055845539,0.9131908574380165
45,-211.95657820119996,-233.86777550229303,5.170321947289688,0.9162577479338844
46,-209.37307264261423,-233.99283180033157,4.906105972070714,0.9132016184573003
47,-209.82556103214836,-237.6992259319705,4.854014290999583,0.9159672004132231
48,-210.36825343701875,-234.16464706138908,4.6686432962593845,0.9144606577134986
49,-212.04487557350487,-231.4867429760692,4.625471572405993,0.9164191632231405
